Currency HolidaysCurrency= AED,Year= 2001Year,Month,Day,Name
2001,JAN,01,New Year
2001,MAR,06,Eid Al-Adha [Est.]
2001,MAR,07,Eid Al-Adha [Est.]
2001,MAR,08,Eid Al-Adha [Est.]
2001,MAR,09,Eid Al-Adha [Est.]
2001,MAR,27,Al-Hijra [Est.]
2001,JUN,04,Mawlid Al-Nabi [Est.]
2001,AUG,06,Accession Day
2001,OCT,14,Al Esra Wal Me'rej [Est.]
2001,DEC,02,UAE National Day
2001,DEC,03,UAE National Day
2001,DEC,17,Eid Al-Fitr [Est.]
2001,DEC,18,Eid Al-Fitr [Est.]
2001,DEC,19,Eid Al-Fitr [Est.]
2001,DEC,20,Eid Al-Fitr [Est.]
