Currency HolidaysCurrency= BHD,Year= 1996Year,Month,Day,Name
1996,JAN,01,New Year
1996,FEB,20,Eid Al Fitr
1996,FEB,21,Eid Al Fitr
1996,FEB,22,Eid Al Fitr
1996,APR,28,Eid Al Adha
1996,APR,29,Eid Al Adha
1996,APR,30,Eid Al Adha
1996,MAY,18,Islamic New Year [Estimated]
1996,MAY,20,Islamic New Year [Estimated]
1996,MAY,27,Ashoora [Estimated]
1996,MAY,28,Ashoora [Estimated]
1996,MAY,30,Ashoora [estimated]
1996,MAY,31,Ashoora [estimated]
1996,JUL,27,Mohammeds Birthday [Est.]
1996,JUL,30,Mohammeds Birthday [Est.]
1996,DEC,16,National Day
