Currency HolidaysCurrency= CNY,Year= 2005Year,Month,Day,Name
2005,JAN,03,New Year
2005,FEB,09,Chinese New Year
2005,FEB,10,Chinese New Year
2005,FEB,11,Chinese New Year
2005,FEB,12,Chinese New Year
2005,FEB,13,Chinese New Year
2005,FEB,14,Chinese New Year
2005,FEB,15,Chinese New Year
2005,MAY,01,Labour Day
2005,MAY,02,Labour Day
2005,MAY,03,Labour Day
2005,MAY,04,May Day Holiday
2005,MAY,05,May Day Holiday
2005,MAY,06,May Day Holiday
2005,MAY,07,May Day Holiday
2005,OCT,01,National Day
2005,OCT,02,National Day
2005,OCT,03,National Day
2005,OCT,04,National Holiday
2005,OCT,05,National Holiday
2005,OCT,06,National Holiday
2005,OCT,07,National Holiday
