Currency HolidaysCurrency= CNY,Year= 2022Year,Month,Day,Name
2022,JAN,31,Chinese New Year Eve
2022,FEB,01,Chinese New Year
2022,FEB,02,Chinese New Year
2022,FEB,03,Chinese New Year
2022,FEB,04,Chinese New Year
2022,FEB,05,Chinese New Year
2022,FEB,06,Chinese New Year
2022,APR,05,Tomb Sweeping Day
2022,MAY,01,May Day Holiday
2022,MAY,02,Mon after May Day Holiday
2022,JUN,03,Dragon Boat Festival
2022,SEP,09,Fri before Mid Autumn Festival
2022,OCT,01,National Holiday
2022,OCT,02,National Holiday
2022,OCT,03,National Holiday
2022,OCT,04,National Holiday
2022,OCT,05,National Holiday
2022,OCT,06,National Holiday
2022,OCT,07,National Holiday
