Currency HolidaysCurrency= KWD,Year= 1996Year,Month,Day,Name
1996,JAN,01,New Year
1996,FEB,20,Eid Al Fitr [estimated]
1996,FEB,21,Eid Al Fitr [estimated]
1996,FEB,22,Eid Al Fitr [estimated]
1996,FEB,26,Mon after National Day
1996,APR,27,Mount Arafat Day [estimated]
1996,APR,28,Mount Arafat Day [estimated]
1996,APR,29,Eid Al Adha [estimated]
1996,APR,30,Eid Al Adha [estimated]
1996,MAY,01,Eid Al Adha [estimated]
1996,MAY,02,Eid Al Adha [estimated]
1996,MAY,19,Islamic New Year [estimated]
1996,MAY,20,Islamic New Year [estimated]
1996,JUL,28,Mohammed's Birthday [est.]
1996,JUL,30,Mohammed's Birthday [est.]
1996,DEC,08,Al Esra Wa al Meraj [Est.]
1996,DEC,09,Al Esra Wa al Meraj [Est.]
