Currency HolidaysCurrency= OMR,Year= 2014Year,Month,Day,Name
2014,JAN,01,New Year
2014,MAY,26,Lailat Al Miraj [Estimated]
2014,JUL,23,Renaissance Day
2014,JUL,28,Eid Al Fitr [Estimated]
2014,JUL,29,Eid Al Fitr [Estimated]
2014,JUL,30,Eid Al Fitr [Estimated]
2014,JUL,31,Eid Al Fitr [Estimated]
2014,AUG,01,Eid Al Fitr [Estimated]
2014,AUG,02,Eid Al Fitr [Estimated]
2014,OCT,05,Eid Al Adha [Estimated]
2014,OCT,06,Eid Al Adha [Estimated]
2014,OCT,07,Eid Al Adha [Estimated]
2014,OCT,08,Eid Al Adha [Estimated]
2014,OCT,09,Eid Al Adha [Estimated]
2014,OCT,26,Sun after Hijri New Year [Estimated]
2014,NOV,18,National Day
2014,NOV,19,National Day
