Currency HolidaysCurrency= OMR,Year= 2019Year,Month,Day,Name
2019,APR,03,Lailat Al Miraj [Estimated]
2019,JUN,05,Eid Al Fitr [Estimated]
2019,JUN,06,Eid Al Fitr [Estimated]
2019,JUN,07,Eid Al Fitr [Estimated]
2019,JUL,23,Renaissance Day
2019,AUG,11,Eid Al Adha [Estimated]
2019,AUG,12,Eid Al Adha [Estimated]
2019,AUG,13,Eid Al Adha [Estimated]
2019,AUG,14,Eid Al Adha [Estimated]
2019,AUG,15,Eid Al Adha [Estimated]
2019,AUG,31,Hijri New Year [Estimated]
2019,NOV,09,Prophet's B'day [Estimated]
2019,NOV,18,National Day
2019,NOV,19,National Day
