Currency HolidaysCurrency= OMR,Year= 2020Year,Month,Day,Name
2020,MAR,22,Lailat Al Miraj [Estimated]
2020,MAY,24,Eid Al Fitr [Estimated]
2020,MAY,25,Eid Al Fitr [Estimated]
2020,MAY,26,Eid Al Fitr [Estimated]
2020,JUL,31,Eid Al Adha [Estimated]
2020,AUG,01,Eid Al Adha [Estimated]
2020,AUG,02,Eid Al Adha [Estimated]
2020,AUG,03,Eid Al Adha
2020,AUG,04,Eid Al Adha
2020,AUG,05,Eid Al Adha
2020,AUG,06,Eid Al Adha
2020,AUG,20,Hijri New Year [Estimated]
2020,AUG,23,Hijri New Year
2020,OCT,29,Prophet's B'day [Estimated]
2020,NOV,18,National Day
2020,NOV,19,National Day
