Currency HolidaysCurrency= TRY,Year= 2008Year,Month,Day,Name
2008,JAN,01,New Year
2008,APR,23,Nat. Sovereignty & Children
2008,MAY,19,Ataturk Commemoration Day
2008,AUG,30,Victory Day
2008,SEP,30,Feast of Ramazan estimated
2008,OCT,01,Feast of Ramazan estimated
2008,OCT,02,Feast of Ramazan estimated
2008,OCT,04,Feast of Ramazan estimated
2008,OCT,29,Republic Holiday
2008,DEC,08,Feast of Sacrifice estimated
2008,DEC,09,Feast of Sacrifice estimated
2008,DEC,10,Feast of Sacrifice estimated
2008,DEC,11,Feast of Sacrifice estimated
